time,id,tag_id,RSSI,phase,17:22.6,activity
25:16.2,e2001d8712401320d4a0,2,-57,"174
",07:53.5,5
25:16.2,e2001d8712401320d4a0,2,-56,"171
",07:53.6,5
25:16.2,e2001d8712401320d4a0,2,-57,"171
",07:53.6,5
25:16.3,e2001d8712401320d4a0,2,-57,"174
",07:53.6,5
25:16.3,e2001d8712401320d4a0,2,-57,"171
",07:53.7,5
25:16.3,e2001d8712401320d4a0,2,-56,"168
",07:53.7,5
25:16.4,e2001d8712401320d4a0,2,-56,"177
",07:53.8,5
25:16.4,e2001d8712401320d4a0,2,-56,"168
",07:53.8,5
25:16.5,e2001d8712401320d4a0,2,-58,"174
",07:53.8,5
25:16.5,e2001d8712401320d4a0,2,-58,"171
",07:53.9,5
25:16.5,e2001d8712401320d4a0,2,-57,"168
",07:53.9,5
25:16.5,e2001d8712401320d4a0,2,-57,"174
",07:53.9,5
25:16.6,e2001d8712401320d4a0,2,-57,"171
",07:53.9,5
25:16.6,e2001d8712401320d4a0,2,-57,"171
",07:54.0,5
25:16.7,e2001d8712401320d4a0,2,-57,"171
",07:54.0,5
25:16.7,e2001d8712401320d4a0,2,-57,"168
",07:54.1,5
25:16.7,e2001d8712401320d4a0,2,-58,"174
",07:54.1,5
25:16.8,e2001d8712401320d4a0,2,-58,"171
",07:54.2,5
25:16.8,e2001d8712401320d4a0,2,-57,"168
",07:54.2,5
25:16.8,e2001d8712401320d4a0,2,-57,"171
",07:54.2,5
25:16.9,e2001d8712401320d4a0,2,-57,"168
",07:54.2,5
25:16.9,e2001d8712401320d4a0,2,-58,"174
",07:54.3,5
25:17.0,e2001d8712401320d4a0,2,-57,"171
",07:54.3,5
25:17.0,e2001d8712401320d4a0,2,-58,"168
",07:54.4,5
25:17.1,e2001d8712401320d4a0,2,-57,"174
",07:54.5,5
25:17.2,e2001d8712401320d4a0,2,-56,"174
",07:54.5,5
25:17.2,e2001d8712401320d4a0,2,-56,"171
",07:54.6,5
25:17.2,e2001d8712401320d4a0,2,-56,"171
",07:54.6,5
25:17.3,e2001d8712401320d4a0,2,-55,"171
",07:54.6,5
25:17.3,e2001d8712401320d4a0,2,-55,"171
",07:54.7,5
25:17.3,e2001d8712401320d4a0,2,-55,"171
",07:54.7,5
25:17.4,e2001d8712401320d4a0,2,-55,"174
",07:54.7,5
25:17.4,e2001d8712401320d4a0,2,-57,"171
",07:54.8,5
25:17.4,e2001d8712401320d4a0,2,-55,"171
",07:54.8,5
25:17.5,e2001d8712401320d4a0,2,-55,"174
",07:54.9,5
25:17.5,e2001d8712401320d4a0,2,-58,"171
",07:54.9,5
25:17.6,e2001d8712401320d4a0,2,-55,"168
",07:54.9,5
25:17.6,e2001d8712401320d4a0,2,-56,"171
",07:55.0,5
