time,id,id_num,RSSI,phase,,activity,,,,,,,,,,,,,,,,
05:10.5,e2001d8712401320d4a0,2,-53,"171
",00:07.2,,,,,,,,,,,,,,,,,
05:10.6,e2001d8712461320db93,3,-50,"174
",00:07.2,,,,,,,,,,,,,,,,,
05:11.3,e2001d8712401320d4a0,2,-55,"174
",00:07.9,,,,,,,,,,,,,,,,,
05:11.3,e2001d8712461320db93,3,-51,"171
",00:08.0,,,,,,,,,,,,,,,,,
05:11.4,e2001d8712171320c120,1,-55,"171
",00:08.0,,,,,,,,,,,,,,,,,
05:11.4,e2001d8712461320db93,3,-51,"174
",00:08.1,,,,,,,,,,,,,,,,,
05:11.5,e2001d871271320b9f,4,-57,"174
",00:08.1,,,,,,,,,,,,,,,,,
05:11.5,e2001d8712401320d4a0,2,-57,"171
",00:08.2,,,,,,,,,,,,,,,,,
05:12.3,e2001d8712401320d4a0,2,-53,"174
",00:08.9,,,,,,,,,,,,,,,,,
05:12.3,e2001d871271320b9f,4,-55,"171
",00:09.0,,,,,,,,,,,,,,,,,
05:12.7,e2001d871271320b9f,4,-53,"171
",00:09.3,,,,,,,,,,,,,,,,,
05:12.7,e2001d8712401320d4a0,2,-52,"174
",00:09.4,,,,,,,,,,,,,,,,,
05:12.8,e2001d8712461320db93,3,-50,"174
",00:09.4,,,,,,,,,,,,,,,,,
05:12.8,e2001d871271320b9f,4,-55,"171
",00:09.5,,,,,,,,,,,,,,,,,
05:12.8,e2001d8712171320c120,1,-55,"174
",00:09.5,,,,,,,,,,,,,,,,,
05:12.9,e2001d871271320b9f,4,-53,"171
",00:09.5,,,,,,,,,,,,,,,,,
05:13.8,e2001d8712461320db93,3,-50,"171
",00:10.5,,,,,,,,,,,,,,,,,
05:13.9,e2001d871271320b9f,4,-55,"174
",00:10.5,,,,,,,,,,,,,,,,,
05:14.2,e2001d8712401320d4a0,2,-51,"171
",00:10.9,,,,,,,,,,,,,,,,,
05:14.3,e2001d8712461320db93,3,-49,"174
",00:10.9,,,,,,,,,,,,,,,,,
05:14.3,e2001d871271320b9f,4,-51,"174
",00:10.9,,,,,,,,,,,,,,,,,
05:14.3,e2001d8712401320d4a0,2,-51,"171
",00:11.0,,,,,,,,,,,,,,,,,
05:14.4,e2001d8712171320c120,1,-53,"171
",00:11.0,,,,,,,,,,,,,,,,,
05:14.4,e2001d8712401320d4a0,2,-51,"174
",00:11.0,,,,,,,,,,,,,,,,,
05:14.4,e2001d871271320b9f,4,-51,"174
",00:11.1,,,,,,,,,,,,,,,,,
05:14.5,e2001d8712461320db93,3,-50,"168
",00:11.2,,,,,,,,,,,,,,,,,
05:14.5,e2001d8712171320c120,1,-55,"171
",00:11.2,,,,,,,,,,,,,,,,,
05:14.6,e2001d8712461320db93,3,-50,"168
",00:11.3,,,,,,,,,,,,,,,,,
05:14.6,e2001d871271320b9f,4,-55,"174
",00:11.3,,,,,,,,,,,,,,,,,
05:14.7,e2001d871271320b9f,4,-55,"174
",00:11.3,,,,,,,,,,,,,,,,,
05:14.7,e2001d8712461320db93,3,-50,"174
",00:11.3,,,,,,,,,,,,,,,,,
05:14.8,e2001d8712401320d4a0,2,-55,"174
",00:11.4,,,,,,,,,,,,,,,,,
05:14.8,e2001d8712461320db93,3,-51,"174
",00:11.5,,,,,,,,,,,,,,,,,
05:14.9,e2001d8712401320d4a0,2,-52,"177
",00:11.5,,,,,,,,,,,,,,,,,
