,run,activity,time,id,RSSI,phase
24,0,5,16 31 43 36165,3,-58,174
25,0,5,16 31 43 36198,1,-57,171
26,0,5,16 31 43 36232,3,-58,171
27,0,5,16 31 43 36249,3,-57,177
28,0,5,16 31 43 36249,3,-57,177
29,0,5,16 31 43 36281,1,-57,174
30,0,5,16 31 43 36281,1,-57,174
31,0,5,16 31 43 36281,1,-57,174
32,0,5,16 31 43 36331,1,-58,174
33,0,5,16 31 43 36349,3,-58,177
34,0,5,16 31 43 36349,3,-58,177
35,0,5,16 31 43 36349,3,-58,177
36,0,5,16 31 43 36415,1,-56,168
37,0,5,16 31 43 36432,3,-57,174
38,0,5,16 31 43 36466,1,-56,171
39,0,5,16 31 43 36499,3,-57,174
40,0,5,16 31 43 36499,3,-57,174
41,0,5,16 31 43 36532,1,-55,171
42,0,5,16 31 43 36548,3,-57,174
43,0,5,16 31 43 36548,3,-57,174
44,0,5,16 31 43 36548,3,-57,174
45,0,5,16 31 43 36548,3,-57,174
46,0,5,16 31 43 36615,1,-57,0
47,0,5,16 31 43 36615,1,-57,0
48,0,5,16 31 43 36648,3,-58,174
49,0,5,16 31 43 36682,1,-53,171
50,0,5,16 31 44 36699,1,-55,174
51,0,5,16 31 44 36715,1,-55,174
52,0,5,16 31 44 36715,1,-55,174
53,0,5,16 31 44 36748,1,-55,174
54,0,5,16 31 44 36748,1,-55,174
55,0,5,16 31 44 36781,1,-55,168
56,0,5,16 31 44 36781,1,-55,168
57,0,5,16 31 44 36814,1,-55,174
58,0,5,16 31 44 36814,1,-55,174
59,0,5,16 31 44 36849,1,-55,174
60,0,5,16 31 44 36849,1,-55,174
61,0,5,16 31 44 36882,1,-55,171
62,0,5,16 31 44 36915,1,-55,171
63,0,5,16 31 44 36948,1,-55,171
64,0,5,16 31 44 36982,1,-55,168
65,0,5,16 31 44 36982,1,-55,168
66,0,5,16 31 44 37016,1,-53,174
67,0,5,16 31 44 37032,1,-55,174
68,0,5,16 31 44 37049,3,-57,174
69,0,5,16 31 44 37049,3,-57,174
70,0,5,16 31 44 37082,1,-55,174
71,0,5,16 31 44 37082,1,-55,174
72,0,5,16 31 44 37115,3,-57,171
73,0,5,16 31 44 37115,3,-57,171
74,0,5,16 31 44 37115,3,-57,171
75,0,5,16 31 44 37165,1,-55,174
76,0,5,16 31 44 37181,3,-56,171
77,0,5,16 31 44 37181,3,-56,171
78,0,5,16 31 44 37215,3,-58,171
79,0,5,16 31 44 37232,1,-55,171
80,0,5,16 31 44 37249,1,-55,174
81,0,5,16 31 44 37265,3,-57,168
82,0,5,16 31 44 37265,3,-57,168
0,0,6,16 31 46 39299,2,-55,171
1,0,6,16 31 46 39316,1,-55,174
2,0,6,16 31 46 39316,1,-55,174
3,0,6,16 31 46 39348,1,-55,174
4,0,6,16 31 46 39348,1,-55,174
5,0,6,16 31 46 39382,1,-55,171
6,0,6,16 31 46 39399,2,-56,171
7,0,6,16 31 46 39415,2,-55,177
8,0,6,16 31 46 39449,1,-55,174
9,0,6,16 31 46 39482,1,-55,174
10,0,6,16 31 46 39499,2,-56,174
11,0,6,16 31 46 39499,2,-56,174
12,0,6,16 31 46 39532,1,-55,168
13,0,6,16 31 46 39549,2,-57,171
14,0,6,16 31 46 39549,2,-57,171
15,0,6,16 31 46 39583,2,-57,171
16,0,6,16 31 46 39599,1,-55,171
17,0,6,16 31 46 39616,1,-55,174
18,0,6,16 31 46 39649,1,-55,168
19,0,6,16 31 46 39665,2,-57,171
20,0,6,16 31 46 39682,1,-55,168
21,0,6,16 31 47 39699,2,-56,174
22,0,6,16 31 47 39699,2,-56,174
23,0,6,16 31 47 39749,2,-57,174
24,0,6,16 31 47 39765,1,-55,177
25,0,6,16 31 47 39765,1,-55,177
26,0,6,16 31 47 39799,1,-55,174
27,0,6,16 31 47 39815,2,-57,174
28,0,6,16 31 47 39815,2,-57,174
29,0,6,16 31 47 39849,1,-55,171
30,0,6,16 31 47 39849,1,-55,171
31,0,6,16 31 47 39882,2,-57,174
32,0,6,16 31 47 39882,2,-57,174
33,0,6,16 31 47 39915,2,-57,174
34,0,6,16 31 47 39932,1,-56,171
35,0,6,16 31 47 39932,1,-56,171
36,0,6,16 31 47 39965,1,-55,174
37,0,6,16 31 47 39999,2,-57,174
38,0,6,16 31 47 40016,1,-57,174
39,0,6,16 31 47 40032,2,-56,174
40,0,6,16 31 47 40049,2,-57,171
41,0,6,16 31 47 40065,1,-55,174
42,0,6,16 31 47 40082,1,-57,168
43,0,6,16 31 47 40082,1,-57,168
44,0,6,16 31 47 40116,2,-56,174
45,0,6,16 31 47 40116,2,-56,174
46,0,6,16 31 47 40149,2,-57,174
47,0,6,16 31 47 40165,1,-56,174
48,0,6,16 31 47 40165,1,-56,174
49,0,6,16 31 47 40199,1,-56,174
50,0,6,16 31 47 40215,2,-56,171
51,0,6,16 31 47 40215,2,-56,171
52,0,6,16 31 47 40215,2,-56,171
53,0,6,16 31 47 40265,2,-57,174
54,0,6,16 31 47 40282,1,-55,174
55,0,6,16 31 47 40299,1,-57,171
56,0,6,16 31 47 40316,2,-57,168
57,0,6,16 31 47 40316,2,-57,168
58,0,6,16 31 47 40365,2,-57,174
59,0,6,16 31 47 40382,1,-55,171
60,0,6,16 31 47 40399,2,-55,168
